NR;SYMBOL;ISIN;Company Common Name; Company Market Capitalization ;TRBC Economic Sector Name;TRBC Economic Sector Code;Country ISO Code of Headquarters;Ccy
1;iShares MSCI WORLD;IE00B4L5Y983;;;;;;
2;AAPL.OQ;US0378331005;Apple Inc; 748’539’080’520.00 ;Technology;57;US;USD
3;MSFT.OQ;US5949181045;Microsoft Corp; 779’673’537’015.52 ;Technology;57;US;USD
4;AMZN.OQ;US0231351067;Amazon.com Inc; 734’416’210’197.16 ;Consumer Cyclicals;53;US;USD
5;JNJ.N;US4781601046;Johnson & Johnson; 346’109’256’899.45 ;Healthcare;56;US;USD
6;JPM.N;US46625H1005;JPMorgan Chase & Co; 324’626’594’974.50 ;Financials;55;US;USD
7;GOOG.OQ;US02079K1079;Alphabet Inc; 723’465’248’599.33 ;Technology;57;US;USD
8;META.OQ;US30303M1027;Meta Platforms Inc; 376’724’818’057.08 ;Technology;57;US;USD
9;GOOGL.OQ;US02079K3059;Alphabet Inc; 723’465’248’599.33 ;Technology;57;US;USD
10;XOM.N;US30231G1022;Exxon Mobil Corp; 288’703’310’922.30 ;Energy;50;US;USD
11;BRKb.N;US0846707026;Berkshire Hathaway Inc; 502’599’567’547.08 ;Consumer Non-Cyclicals;54;US;USD
12;PFE.N;US7170811035;Pfizer Inc; 239’992’249’200.00 ;Healthcare;56;US;USD
13;NESN.S;CH0038863350;Nestle SA; 248’376’587’745.15 ;Consumer Non-Cyclicals;54;CH;CHF
14;UNH.N;US91324P1021;UnitedHealth Group Inc; 239’661’959’904.00 ;Healthcare;56;US;USD
15;BAC.N;US0605051046;Bank of America Corp; 238’251’216’156.80 ;Financials;55;US;USD
16;V.N;US92826C8394;Visa Inc; 290’822’841’344.70 ;Industrials;52;US;USD
17;VZ.N;US92343V1044;Verizon Communications Inc; 232’301’888’978.22 ;Technology;57;US;USD
18;PG.N;US7427181091;Procter & Gamble Co; 229’945’206’851.28 ;Consumer Non-Cyclicals;54;US;USD
19;INTC.OQ;US4581401001;Intel Corp; 214’188’520’000.00 ;Technology;57;US;USD
20;WFC.N;US9497461015;Wells Fargo & Co; 216’909’811’261.44 ;Financials;55;US;USD
21;CVX.N;US1667641005;Chevron Corp; 207’873’143’603.51 ;Energy;50;US;USD
22;T.N;US00206R1023;AT&T Inc; 156’860’929’056.00 ;Technology;57;US;USD
23;MRK.N;US58933Y1055;Merck & Co Inc; 189’460’628’584.13 ;Healthcare;56;US;USD
24;CSCO.OQ;US17275R1023;Cisco Systems Inc; 194’810’021’760.90 ;Technology;57;US;USD
25;HD.N;US4370761029;Home Depot Inc; 194’075’458’692.28 ;Consumer Cyclicals;53;US;USD
26;KO.N;US1912161007;Coca-Cola Co; 201’545’933’070.30 ;Consumer Non-Cyclicals;54;US;USD
27;NOVN.S;CH0012005267;Novartis AG; 182’496’389’442.98 ;Healthcare;56;CH;CHF
28;BA.N;US0970231058;Boeing Co; 183’143’031’502.50 ;Industrials;52;US;USD
29;ROG.S;CH0012032048;Roche Holding AG; 212’689’524’621.48 ;Healthcare;56;CH;CHF
30;MA.N;US57636Q1040;Mastercard Inc; 194’836’659’975.65 ;Technology;57;US;USD
31;HSBA.L;GB0005405286;HSBC Holdings PLC; 161’489’954’627.40 ;Financials;55;GB;GBp
32;DIS.N;US2546871060;Walt Disney Co; 163’232’771’202.60 ;Consumer Cyclicals;53;US;USD
33;CMCSA.OQ;US20030N1019;Comcast Corp; 154’109’023’874.10 ;Technology;57;US;USD
34;PEP.OQ;US7134481081;PepsiCo Inc; 155’950’032’640.00 ;Consumer Non-Cyclicals;54;US;USD
35;MCD.N;US5801351017;McDonald's Corp; 136’890’533’092.50 ;Consumer Cyclicals;53;US;USD
